Hotelname,Hotelid,Address,Cityname,Citycode,CountryCode,CountryName,Payment,Tel No.,FAX No.,Latitude,Longtitude,Star,# room,Email
Favehotel Melawai,WSASIDCGK000154,Jl. Melawai 4 No. 3-11,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29054888,+62 21 29054999,-6.244105,106.801861,3,,
Favehotel PGC Cililitan,WSASIDCGK000155,Jl. Mayjend Sutoyo No. 76,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 80884545,+62 21 80876600,-6.262685,106.865812,3,,
Favehotel Pluit Junction,WSASIDCGK000156,Jl. Pluit No.1 Pluit Penjaringan,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 6670000,+62 21 66607466,-6.125765,106.791612,3,,
Favehotel Puri Indah,WSASIDCGK000157,Jl. Kembang Abadi Raya No. 1,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 5807711,+62 21 58358687,-6.182981,106.7514,3,,
Favehotel Tanah Abang Cideng,WSASIDCGK000158,Jl. Cideng Timur No.58 Petojo Selatan,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 34834933 / + 6221 93724250,+62 21 34834939,-6.173579,106.811837,3,,
Favehotel Zainul Arifin Gajah Mada,WSASIDCGK000159,Jl. K.H. Zainul Arifin No. 15-17 Petojo Utara,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 63873333,+62 21 63875555,-6.160356,106.816466,3,,
Feodora Grogol,WSASIDCGK000160,Jl.Dr. Susilo Raya No.113 - Grogol,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 56945000,+62 21 56941333,,,2,,
Feodora Mangga Besar IV,WSASIDCGK000161,"Jalan Mangga Besar IV No. 18D, Gajah Mada, Jakarta",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+6221 62203636,+6221 62203636,-6.149979,106.823149,3.5,,
FM7 Resort Hotel Tangerang,WSASIDCGK000164,Jl. Raya Perancis 67 Benda,Tangerang,WSASIDTGG,WSASID,Indonesia,NONE,+62 21 55911777,+62 21 55912521,-6.106715,106.683407,4,,
Four Points by Sheraton Jakarta Thamrin,WSASIDCGK000165,"Menara Topas, Jl. M.H. Thamrin No.9",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 3902226,+62 21 3902524,-6.188233,106.822635,4,,
Four Seasons Gatot Subroto Jakarta,WSASIDCGK000166,"Jalan Jend. Gatot Subroto Kav 18, Kuningan Barat",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 (21) 2277-1888,+62 (21) 2277-1888,-6.232381,106.82024,5,,
Fraser Place Setiabudi,WSASIDCGK000168,"Jl. Setiabudi Selatan Raya no.2 Kel.Karet, Kec. SetiabudiJakarta Selatan",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+6221 3002 0888,+6221 3002 0899,-6.215188,106.829429,5,,
Fraser Residence Menteng,WSASIDCGK000169,Jl. Menteng Raya No. 60 Menteng,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29551888,+62 21 29551889,-6.184582,106.834472,5,,
Fraser Residence Sudirman,WSASIDCGK000170,Jl. Setiabudi Raya No.9 Sudirman,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29272888,+62 21 29272899,-6.21033,106.823607,5,,
Golden Boutique Angkasa,WSASIDCGK000176,Jl. Angkasa No.1,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 6255555,+62 216 256666,-6.1582672,106.838241,4,,
Golden Boutique Melawai,WSASIDCGK000177,Jl. Melawai 8 No. 6 - 8 Blok M,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7234555,+62 21 7227555,-6.245121,106.798683,4,,
GP Hotel Mega Kuningan (formerly Best Western Mega Kuningan),WSASIDCGK000179,Jl. Mega Kuningan Timur 2 No. 1 Setiabudi,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29201234,+62 21 29673266,-6.228382,106.82819,4,,
Gran Mahakam,WSASIDCGK000181,Jl. Mahakam I no.6 Blok M,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7209966,+62 21 7252011,-6.244465,106.795373,5,,
Gran Melia Jakarta,WSASIDCGK000182,Jalan H.R. Rasuna Said Kav X-0 Kuningan,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 215 268080,+62 215 268181,-6.234989,106.830175,5,,
Grand Asia Pluit Jakarta,WSASIDCGK000183,Jl. Bandengan Selatan No.88 Penjaringan,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 66606969,+62 21 66607007,-6.137549,106.794923,3,,
Grand Cemara Jakarta,WSASIDCGK000185,Jl. Cemara No.1,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 3908215,+62 21 31924668,-6.187408,106.830189,3,,
Grand Cempaka Jakarta,WSASIDCGK000186,Jl. Let. Jend. Suprapto Cempaka Putih,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 4260066,+62 21 4260022,-6.173788,106.860731,4,,
Grand Hyatt Jakarta,WSASIDCGK000189,Jl. M H Thamrin Kav 28-30 Tanah Abang+62 21 29921456,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29921234,+62 21 2992 1345,-6.193973,106.822748,5,,
grandkemang Jakarta,WSASIDCGK000190,Jl. Kemang Raya 2H Kebayoran Baru,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7194121,+62 21 7194131,-6.25557,106.810791,4,,
Grand Menteng Jakarta,WSASIDCGK000191,Jl. Matraman Raya No. 21,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 8509872 / 8510607 / 8583439,+62 21 8583861,-6.200067,106.854955,3,,
Grand Mercure Jakarta Harmoni,WSASIDCGK000192,Jl. Hayam Wuruk No 36 - 37 Gambir,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 3453777,+62 21 3453999,-6.159457,106.819494,5,,
Grand Mercure Jakarta Kemayoran,WSASIDCGK000193,Jl. Benyamin Sueb Kab. B-6 Superblok Mega Kemayora Kota Baru Bandar Kemayoran - Central Jakarta,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 22601111,+62 21 22602222,-6.153801,106.849739,5,,
Grand Sahid Jaya Jakarta,WSASIDCGK000195,Jl. Jend. Sudirman 86,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 215 704444,+62 215 702208,-6.210972819,106.8203835,5,,
Grand Tjokro Jakarta Daan Mogot,WSASIDCGK000196,Jl. Daan Mogot No.63 Jakarta Barat,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 5660229,+62 21 5660230,-6.165178,106.78275,4,,
Grand Tropic Suites,WSASIDCGK000197,Jl. Letjend S. Parman Kav. 3,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 5641555,+62 21 5641550,-6.171360992,106.7875278,4,,
El Royale Hotel Jakarta,WSASIDCGK000198,Jl. Bukit Gading Raya Kav.1 Kelapa Gading,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 45873355,+62 21 45873200,-6.152355,106.895911,4,,
Grand Whiz Poins Square-Simatupang,WSASIDCGK000199,Jl. RA Kartini no. 1 POINS SQUARE Mall & Apartment,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+6221 8064 9999,+6221 8064 9988,-6.289935,106.77768,4,,
GranDhika Iskandarsyah Jakarta,WSASIDCGK000200,Jl. Iskandarsyah Raya No. 65 Kebayoran Baru,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,(62-21) 29127788 / (62-21) 811 9946 677,+62 21 29126677,-6.244457,106.804112,4,,
Griya Patria Guesthouse,WSASIDCGK000206,Jl. Pejaten Barat No.16 Kemang Jakarta 12550,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,021 – 781 9464 / 65,021 – 7883 7882,-6.276993,106.823794,3,,
The Grove Suites Jakarta By Grand Aston (The Grove Suite Kuningan),WSASIDCGK000208,"Kawasan Rasuna Epicentrum, Jl. H.R. Rasuna Sahid Kuningan Area",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29941880 / 93910101,+62 21 29941850,-6.218548192,106.8335565,5,,
Hariston Hotel and Suite Pluit (Formerly Best Western Hariston),WSASIDCGK000211,Jl. Terusan Bandengan Utara No. 1,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 66602277,+62 21 66605533,-6.1371931,106.7877262,4,,
Harper MT Haryono Cawang,WSASIDCGK000213,Jl MT Haryono Kav 6-7/ Jl Biru Laut X,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,021 - 35760007,021 - 35760008,-6.245124,106.872377,4,,
Harris and Conventions Kelapa Gading Jakarta,WSASIDCGK000214,Sentra Kelapa Gading Jl. Bulevar Kelapa Gading Blok MM Jakarta,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 45878200,+62 21 45878300,-6.158464,106.909659,4,,
Harris Suite Fx Sudirman,WSASIDCGK000215,Jl. Jend Sudirman Pintu Satu Senayan,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 25554333,+62 21 25554321,-6.224673,106.803625,4,,
Harris Tebet,WSASIDCGK000216,"Jl. Dr Saharjo No.191 Jakarta, Indonesia",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 8303355,+62 21 8295533,-6.22287,106.848019,4,,
The Hermitage Hotel Menteng,WSASIDCGK000217,Jalan Cilacap No.1 Jakarta Menteng,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 31926888,+62 21 31926999,-6.198323,106.838112,5,,
Holiday Inn Express Jakarta International Expo,WSASIDCGK000218,Jl. Pekan Raya Jakarta Pintu 6 Kemayoran,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 28096000,+62 21 28096001,-6.143449,106.845096,3,,
Holiday Inn Express Jakarta Pluit Citygate,WSASIDCGK000219,Emporium Pluit Mall 10Th Floor Jl. Pluit Selatan,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29602960,+62 21 29689909,-6.127715,106.790687,3,,
Holiday Inn Express Jakarta Thamrin,WSASIDCGK000220,Jl. Tanjung Karang No. 1 Tanah Abang,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29580600,+62 21 29580666,-6.201462,106.822513,3,,
Holiday Inn Express Jakarta Wahid Hasyim,WSASIDCGK000221,Jl. Wahid Hasyim 123 Tanah Abang,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 80642600,+62 21 3917758,-6.187198,106.821936,3,,
Holiday Inn Jakarta Kemayoran,WSASIDCGK000222,Jl. Griya Utama Blok B No.1 Pademangan,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29568800,+62 21 29560088,-6.141256,106.85406,4,,
Hotel 88 (Mangga Besar 62) Jakarta,WSASIDCGK000228,Jl.Mangga Besar Raya No.62 Taman Sari,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 62311122,+62 21 62311166,-6.149443,106.823904,2,,
Hotel 88 Grogol,WSASIDCGK000229,Jl. Dr. Susilo Raya C-1 Grogol,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29336688,+62 21 29336888,-6.165939,106.790893,2,,
Hotel 88 (Mangga Besar VIII) Jakarta,WSASIDCGK000230,Jl. Mangga Besar VIII /10 D Taman Sari,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 62302525,+62 21 62303003 / +62 21 6240977,-6.150827,106.825503,2,,
Hotel 88 Kedoya,WSASIDCGK000231,"Jalan Panjang No. 68, Kav68 Kedoya Selatan",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+6221 2911 7118,+6221 2911 7118,-6.184443,106.767873,2,,
Hotel 88 Tendean,WSASIDCGK000232,Jalan Kapten Tendean No.10 Mampang Prapatan-,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7941888,+62 21 7941888,-6.240796,106.822276,2,,
Neo Mangga Dua,WSASIDCGK000234,Gunung Sahari Raya No.1 Rukan Mangga Dua Square Blok A No. 10,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29618888,+62 21 29619999,-6.135534,106.831176,3,,
Ibis Jakarta Arcadia Wahid Hasyim,WSASIDCGK000239,Jl. K H Wahid Hasyim No 114 Menteng,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 2300050,+62 21 2300995,-6.186814,106.825961,3,,
Ibis Budget Daan Mogot,WSASIDCGK000240,Jl. Daan Mogot 50B Grogol,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29119000,+62 21 29119009,-6.161593,106.771746,2,,
Ibis Budget Jakarta Cikini,WSASIDCGK000241,Jl. Cikini Raya No. 75 Cikini,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 31908188,+62 21 31908588,,,2,,
Ibis Budget Jakarta Menteng,WSASIDCGK000242,Jl. Hos Cokroaminoto No. 79 Menteng,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 3918007,+62 21 3143677,-6.196744,106.828802,2,,
Ibis Budget Jakarta Tanah Abang,WSASIDCGK000243,Jl. Tanah Abang 2 No. 35 Gambir,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 300 555 00,+62 21 300 555 001,-6.175809,106.816265,2,,
Ibis Jakarta Cawang,WSASIDCGK000244,"Jl. MT Haryono No 9, Cawang, Jakarta",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29257777,+62 21 8004965,-6.246831,106.872737,3,,
Ibis Jakarta Harmoni,WSASIDCGK000245,Jl. Hayam Wuruk No. 35 Jakarta Pusat,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 2120 3145,+62 21 38901655,-6.160457,106.819858,3,,
Arcadia by Horison Mangga Dua (Formerly Ibis Jakarta Mangga Dua),WSASIDCGK000246,Jl. Pangeran Jayakarta 73,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 6250101,+62 21 6250505,-6.1382453,106.8226541,3,,
Ibis Jakarta Senen,WSASIDCGK000247,Jl. Kramat Raya No. 100 Jakarta Pusat,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 2131920033,+62 2131933275,-6.183216853,106.8429416,3,,
Ibis Jakarta Kemayoran,WSASIDCGK000248,Jl. Bungur Besar Raya 79-81,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 4210111,+62 21 4211458,-6.16509,106.842028,3,,
Ibis Jakarta Slipi,WSASIDCGK000249,Jl. Letjen S Parman Kav 59,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 5331560,+62 21 5325555,-6.199296,106.799171,3,,
Ibis Styles Jakarta Mangga Dua,WSASIDCGK000250,"Jl Gunung Sahari 1, Mangga Dua",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29578900,+62 21 29579000,-6.138716,106.832082,3,,
Ibis Styles Jakarta Sunter,WSASIDCGK000251,Jl. Gaya Motor I Sungai Bambu - Sunter,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 22651699,+62 21 22651698,-6.140547,106.886067,3,,
Ibis Tamarin,WSASIDCGK000252,Jl. KH Wahid Hasyim 77 Jakarta Pusat,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 3912323,+62 21 3157707,-6.18743,106.826843,3,,
AYANA Midplaza Jakarta (formerly InterContinental Jakarta MidPlaza),WSASIDCGK000256,"Jl. Jend Sudirman Kav 10-11, Tanah Abang, Jakarta",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,(021) 2510888, ,-6.209007,106.819688,5,,
Jakarta Airport,WSASIDCGK000257,Terminal 2E Soekarno Hatta International Airport Cengkareng,Tangerang,WSASIDTGG,WSASID,Indonesia,NONE,+62 21 5590008,+62 21 5590018,-6.12219,106.652523,3,,
Jayakarta Jakarta Hayam Wuruk,WSASIDCGK000261,Jl. Hayam Wuruk No 126,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 6496760/29632313,+62 21 6293000/5000,-6.147526,106.8172,4,,
JS Luwansa Hotel and Convention Center,WSASIDCGK000264,JL. H.R. Rasuna Said Kav. C-22,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29543030,+62 21 29543040/50162929,-6.222721,106.833149,4,,
JW Marriott Jakarta,WSASIDCGK000265,Jl. Dr. Ide Anak Agung Gde Agung Kav. E 1.2 No 1 and 2,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 57988888,+62 21 57988833,-6.227614,106.827146,5,,
Kaisar Jakarta,WSASIDCGK000266,Jalan PLN no. 1 Duren Tiga,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 79183601 / 02,+62 21 79183604,-6.25309,106.841657,3,,
Kartika Chandra Jakarta,WSASIDCGK000269,Jl. Gatot Subroto,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 5251008,+62 21 5204238,-6.227357,106.818994,4,,
Kemang Icon Jakarta,WSASIDCGK000272,Jl. Kemang Raya 1 Kemang,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7197989,+62 21 7198968,-6.255559,106.815013,5,,
Indonesia Kempinski Jakarta,WSASIDCGK000273,Jl. MH Thamrin No. 1,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 23583800,+62 21 23583889,-6.195644,106.821792,5,,
"Keraton at The Plaza, A Luxury Collection Hotel",WSASIDCGK000274,Jl. MH. Thamrin Kav. 15,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 50680000,+62 21 50689999,-6.192678,106.821528,5,,
Kosenda Hotel,WSASIDCGK000276,Jl. KH. Wahid Hasyim No.127,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 31936868,+62 21 31936767,-6.1872,106.82169,4,,
Kristal Simatupang Jakarta,WSASIDCGK000277,"Jl. Tarogong Raya, Cilandak Barat",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7507050,+62 21 7507110,-6.28361,106.79103,4,,
Arimbi Pejaten Suites (Formerly Kyriad Pejaten Suites),WSASIDCGK000279,Jl. Pejaten Barat Raya No. 36,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7800909,+62 21 7806964,-6.277908,106.826977,2,,
Le Grandeur Mangga Dua,WSASIDCGK000280,Jl. Mangga Dua Raya,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 6128811,+62 21 6127910,-6.137135,106.825363,4,,
LeGreen Suite Pejompongan,WSASIDCGK000281,Jl. Pejompongan Raya 24,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 5743838,+62 21 5743838,-6.206699,106.807855,2,,
LeGreen Suite Poso,WSASIDCGK000283,"Jl. Danau Poso 18 Bendungan Hilir, Jakarta Pusat (Dekat JCC)",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 5707918 / +6221 5790 5275/+6221 57955135,+62 21 5707918 / +6221 5790 5275/+6221 57955135,6.2093044,106.8074256,2,,
LeGreen Suite Setiabudi,WSASIDCGK000284,l. Setia Budi VI / 29,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 5251035,+62 21 5251035,-6.207298417,106.8249138,2,,
Le Meridien Jakarta,WSASIDCGK000285,Jl. Jenderal Sudirman Kav 18 - 20,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 2513131,+62 21 5711640,-6.213232,106.818905,5,,
LeGreen Suite Gatot Subroto,WSASIDCGK000286,"Jalan Pejompongan III No.5 Pejompongan, No.5 Bendungan Hilir, Tanah Abang",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+6221 57939074,+6221 57939074,-6.204272,106.80459,2,,
LeGreen Suite Penjernihan,WSASIDCGK000287,"Jl Penjernihan II No.2 Bendungan Hilir Pejompongan, Jakarta Pusat (benhil)",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+6221 5790 5275/+6221 57955135,+6221 5790 5275/+6221 57955135,-6.205199,106.809294,2,,
LeGreen Suite Tebet,WSASIDCGK000288,Jl Tebet Timur Dalam 2 No.24,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 2183788667/8,+62 2183788667/8,-6.230053697,106.8564358,2,,
LeGreen Suite Tondano,WSASIDCGK000289,Jl. Danau Tondano No. 18 Bendungan Hilir,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+6221 5743838,+6221 5743838,6.206722,106.8078889,2,,
Liberty Hotel Thamrin,WSASIDCGK000290,Jl.Sungai Gerong No.2,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 3919085,+62 21 31010400,-6.200124,106.822195,3,,
Little Amaroossa Hotel and Residence,WSASIDCGK000291,Jl. Cipete Raya No.5 Jakarta Selatan,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 29124555,+62 21 29124964,-6.277735,106.804635,2,,
Losari Blok M,WSASIDCGK000292,Jl. Panglima Polim Raya No. 03 Kebayoran Baru Jakarta Selatan,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7265858,+62 21 7269616,-6.244337,106.798342,2,,
Losari Blok M 2,WSASIDCGK000293,Jl. St Hasanuddin no.30,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7208500,+62 21 7258377,-6.242894,106.802091,2,,
Losari Roxy,WSASIDCGK000294,Jl. Hasim Ashari No. 41,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+6221 6322515 / +6221 6322544,+62 21 6322582,-6.166174,106.809426,3,,
Losari Thamrin Condotel,WSASIDCGK000295,Jl.Kebon Kacang Raya Kebun Melati,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+6221 29937490 / +6221 29937491 / +6221 23579777 /,021 29937443,-6.196858,106.816882,3,,
Luminor Pecenongan Jakarta,WSASIDCGK000296,Jl. Pecenongan No.35,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 344 7777,+62 21 345 0044,-6.163826,106.82651,3,,
Lumire Convention Center,WSASIDCGK000297,Jl. Senen Raya 135,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 3442828,+62 21 3442929,-6.175955,106.84034,4,,
Lynt Hotel Jakarta,WSASIDCGK000298,Jl. Cideng Timur No.35 Jakarta Pusat,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,021 63870011/6399195,021 63852266/6018922,-6.168929,106.81115,2,,
Maharadja Jakarta,WSASIDCGK000302,Jl. Kapten Piere Tendean No. 1,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 79180055,+62 21 7995290,-6.240624,106.824805,3,,
Mandarin Oriental Jakarta,WSASIDCGK000304,Jl. M.H. Thamrin P.O. BOX 3392,Jakarta,WSASIDCGK,WSASID,Indonesia,Credit,+62 21 29938888,+62 21 29938877,-6.196061,106.823686,5,,
Manhattan Jakarta,WSASIDCGK000305,Jl. Prof. Dr. Satrio 1 Casablanca Kuningan,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 30040888,+62 2130040889,-6.225265,106.831099,5,,
Maven at Buncit,WSASIDCGK000307,Jl. Kemang Timur V No. 23 Kemang,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7998825,+62 21 7990177,-6.259457,106.826813,3,,
Maven Fatmawati Hotel,WSASIDCGK000309,Jl. Fatmawati Raya no. 2 Kebayoran Baru,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7501481,+62 21 75914881,-6.266087,106.797586,2,,
MaxOne Pemuda Rawamangun,WSASIDCGK000313,"JL. Pemuda Raya NO.9, Rawamangun",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,6.2213E+11,6.2213E+11,-6.192055,106.880669,3,,
MaxOne Sabang Jakarta,WSASIDCGK000314,Jl. KH Agus Salim No. 24 Jakarta,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 3166888,+62 21 3162333,-6.184541,106.824795,3,,
MaxOne Glodok Jakarta,WSASIDCGK000315,Jl.Pasar Glodok Selatan No 8-10,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 6303336,+62 21 6303336,-6.143322,106.814525,3,,
MaxOne Kramat Senen Jakarta,WSASIDCGK000316,"Jl. Kramat Raya No.91, RT.17/RW.1, Paseban, Senen, Senen",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 3915500,+62 21 3908586,-6.190132,106.847623,3,,
Mega Anggrek,WSASIDCGK000317,Jl. Arjuna Selatan No.4 Palmerah,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 5363044/ 5363045,+62 21 53670044,-6.185192,106.789844,3,,
Melawai 2,WSASIDCGK000320,"JL. Melawai Raya No.18, Blok M Jakarta Selatan",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 212700447,+62 21 2700999,-6.246448,106.799862,3,,
Melawai 1,WSASIDCGK000321,"JL. Melawai Raya No.18-20, Blok M Jakarta Selatan",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 2700408,+62 21 2700397,,,3,,
Menara Peninsula,WSASIDCGK000322,"Jl. Let. Jend. S. Parman 78 Slipi, JakartaSlipi",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 5350 888,+62 21 53671054,-6.190239,106.79792,4,,
Menteng 1,WSASIDCGK000323,"Jl. R.P Soeroso No. 28 Gondangdia, Jakarta Pusat",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 31925208,+62 21 3144151,-6.190329,106.83575,2,,
Mercure Convention Center Ancol,WSASIDCGK000325,Jalan Pantai Indah Taman Impian Jaya Ancol,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 6406000 / 6407000,+62 21 6406123,-6.122325,106.835968,4,,
Mercure Jakarta Cikini,WSASIDCGK000327,Jalan Cikini Raya No 66,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 392 6600,+62 21 392 6800,-6.194195,106.839153,4,,
Mercure Jakarta Kota,WSASIDCGK000328,Jl. Hayam Wuruk No. 123,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 6248680,+62 21 6008441,-6.149141,106.817295,4,,
Mercure Jakarta Sabang Wahid Hasyim,WSASIDCGK000329,Jl H Agus Salim No 11 - Gambir Jakarta Pusat,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 3503066,+62 21 3503067,-6.182187,106.824886,4,,
Mercure Jakarta Simatupang,WSASIDCGK000330,"Jl. R.A. Kartini No. 18 Lebak Bulus, Jakarta Selatan",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 75999777,+62 21 75999798,-6.290799,106.780082,4,,
Merlynn Park,WSASIDCGK000331,Jl. K.H. Hasyim Ashari 29-31 Jakarta Pusat,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 30026888,+62 21 30026889,-6.165948,106.815348,5,,
Midtown Residence Simatupang Jakarta,WSASIDCGK000333,Jl.T.B Simatupang Kav 20 Cilandak Barat,Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 7658956 / 765 89 56,+62 21 7654749,-6.29172,106.802379,4,,
Millennium Sirih Jakarta,WSASIDCGK000334,"Jl. Fachrudin 3 Thamrin, Jakarta",Jakarta,WSASIDCGK,WSASID,Indonesia,NONE,+62 21 2303636,+62 21 2300030,-6.182671,106.8167,4,,
